"YEAR","SERIAL","MONTH","CPSID","ASECFLAG","ASECWTH","STATEFIP","STATECENSUS","COUNTY","METFIPS","METRO","OWNERSHP","HHINCOME","PUBHOUS","RENTSUB","HEATSUB","HEATVAL","FOODSTMP","STAMPNO","STAMPMO","ATELUNCH","FAMINC","PERNUM","CPSIDP","CPSIDV","ASECWT","RELATE","AGE","SEX","RACE","MARST","BPL","YRIMMIG","CITIZEN","HISPAN","EMPSTAT","LABFORCE","OCC","IND","CLASSWKR","UHRSWORKT","UHRSWORK1","WHYUNEMP","EDUC","DIFFHEAR","DIFFEYE","DIFFMOB","OCCLY","INDLY","CLASSWLY","WORKLY","PENSION","FIRMSIZE","FTOTVAL","INCTOT","INCWAGE","INCBUS","INCFARM","INCSS","INCWELFR","INCRETIR","INCSSI","INCINT","INCDIVID","INCRENT","CTCCRD","ACTCCRD","ADJGINC","EITCRED","FEDTAX","FEDTAXAC","MARGTAX","STATETAX","STATAXAC","TAXINC","OFFPOV","MIGSTA1","WHYMOVE","MIGRATE1","PAIDGH","HIMCARENW","HIMCAIDNW","CAIDNW","VETLAST","UNION"
2024,53188,3,2.02402e+13,1,1191.71,1,63,1097,33660,2,10,249913,0,0,1,0,1,0,0,0,842,1,2.02402e+13,2.02402e+14,1191.71,101,71,1,200,1,9900,0,1,0,36,1,0,0,0,999,999,0,123,1,1,1,0,0,0,1,0,0,249913,249913,0,0,0,26088,0,1e+05,0,62825,1000,0,2000,0,306000,0,50782,50782,24,10555,10255,275300,2,99,0,1,0,2,1,1,10,0
2024,53214,3,2.02413e+13,1,2985.67,1,63,0,33860,3,10,277000,0,0,1,0,1,0,0,99,843,1,2.02413e+13,2.02413e+14,2985.67,101,28,2,200,1,9900,0,1,0,10,2,2205,7870,27,40,40,0,123,1,1,1,440,9470,27,2,2,9,277000,91000,90000,0,0,0,0,99999999,0,1000,0,0,0,0,277000,0,46632,46632,24,11038,10738,249300,2,99,0,1,21,1,1,1,0,0
2024,53052,3,2.02303e+13,1,1191.6,1,63,0,26620,3,10,200313,0,0,1,0,1,0,0,2,830,5,2.02303e+13,2.02303e+14,1264.37,301,13,1,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,200313,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,51816,3,2.02313e+13,1,1396.29,1,63,0,99998,1,10,16116,0,0,1,0,1,0,0,0,720,2,2.02313e+13,2.02313e+14,1840.43,901,5,1,200,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,16116,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,1,99,0,1,0,1,2,1,0,0
2024,51598,3,2.02301e+13,1,2310.54,1,63,0,99998,1,10,14964,0,0,1,0,1,0,0,99,100,1,2.02301e+13,2.02301e+14,2310.54,101,33,2,100,4,9900,0,1,0,32,1,0,0,0,999,999,0,81,1,1,2,0,0,0,1,0,0,14964,14964,0,0,0,14964,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,-150,0,1,99,0,1,0,2,1,1,0,0
2024,52780,3,2.02301e+13,1,1754.85,1,63,1003,19300,4,10,67050,0,0,1,0,1,0,0,2,841,2,2.02301e+13,2.02301e+14,1754.85,202,54,1,200,1,9900,0,1,0,10,2,7750,3570,21,40,40,0,111,1,1,1,8740,3291,22,2,1,9,67050,50250,50000,0,0,0,0,99999999,0,250,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,0,1,1,1,0,0
2024,52220,3,2.02402e+13,1,1440.41,1,63,0,13820,3,10,96169,0,0,1,0,1,0,0,2,841,3,2.02402e+13,2.02402e+14,1540.09,301,10,1,100,6,9900,0,1,0,0,0,0,0,0,999,999,0,1,0,0,0,0,0,0,0,0,0,96169,999999999,99999999,99999999,99999999,999999,999999,99999999,999999,9999999,9999999,9999999,999999,99999,99999999,9999,99999999,99999999,99,0,0,9999999,2,99,0,1,0,1,1,1,0,0
2024,52315,3,2.02312e+13,1,2597.06,1,63,0,13820,3,22,70788,1,1,1,0,1,0,0,0,470,1,2.02312e+13,2.02312e+14,2597.06,101,43,1,200,4,9900,0,1,0,10,2,9130,6170,13,997,997,0,81,1,1,1,9130,6170,13,2,1,1,70788,70788,0,60000,0,0,0,99999999,0,0,0,0,2000,0,55761,0,1042,1042,12,2453,2303,27969,2,99,0,1,10,1,1,1,12,0
2024,52324,3,2.02403e+13,1,1808.59,1,63,0,13820,2,22,0,1,1,1,0,2,1,12,99,430,1,2.02403e+13,2.02403e+14,1808.59,101,52,1,200,3,9900,0,1,0,32,1,0,0,0,999,999,0,71,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,-150,0,1,1,15,3,0,1,2,2,0,0
2024,52160,3,2.02413e+13,1,2611.55,1,63,1081,12220,4,10,82021,0,0,1,0,1,0,0,1,843,1,2.02413e+13,2.02413e+14,2611.55,101,28,2,200,1,9900,0,1,0,10,2,2205,7870,27,40,40,0,123,1,1,1,2360,4971,22,2,1,9,82021,2500,1550,0,0,0,0,99999999,0,950,0,0,2500,0,80521,0,3089,3089,12,3049,2749,52821,2,99,0,1,0,1,2,2,0,0
